,Compound,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,"OxidationStates(stats=['minimum', 'maximum', 'range', 'std_dev'])",minimum EN difference,maximum EN difference,range EN difference,mean EN difference,std_dev EN difference,avg anion electron affinity
0,Cl-Br-Ba,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,17.0,56.0,39.0,36.0,13.333333333333334,17.0,9.0,95.0,86.0,66.0,38.0,9.0,35.453,137.327,101.874,84.228,35.39933333333333,35.453,171.6,1000.0,828.4,479.13333333333327,347.24444444444447,171.6,2.0,17.0,15.0,12.0,6.666666666666667,2.0,3.0,6.0,3.0,4.333333333333333,1.111111111111111,3.0,102.0,215.0,113.0,145.66666666666666,46.22222222222222,102.0,0.89,3.16,2.27,2.3366666666666664,0.9644444444444445,0.89,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,15.0,8.666666666666666,5.5555555555555545,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,24.4975,63.59,39.0925,39.18916666666667,16.267222222222227,24.4975,0.0,2.493,2.493,1.3166666666666667,0.8777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,119.0,73.33333333333333,64.0,2.0,3.3333333333333335,3.3333333333333335,0.0,True,0.7242401773760752,0.15462241715372424,"Full Formula (Ba1 Br1 Cl1)
Reduced Formula: BaBrCl
abc   :   4.888612   4.888611  17.120867
angles:  90.000000  90.000000 119.999997
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ba2+  0         0         0.219582
  1  Br-   0.333333  0.666667  0.125071
  2  Cl-   0.666667  0.333333  0.297452",2.17,2.17,0.0,2.17,0.0,-336800.0
1,Cl-Br-Be,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,4.0,35.0,31.0,18.666666666666668,10.888888888888891,4.0,67.0,95.0,28.0,85.33333333333333,12.222222222222223,67.0,9.012182,79.904,70.891818,41.456393999999996,25.63173733333333,9.012182,171.6,1560.0,1388.4,665.8,596.1333333333333,171.6,2.0,17.0,15.0,12.0,6.666666666666667,2.0,2.0,4.0,2.0,3.0,0.6666666666666666,2.0,96.0,120.0,24.0,106.0,9.333333333333334,96.0,1.57,3.16,1.59,2.5633333333333335,0.6622222222222222,1.57,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,15.0,8.666666666666666,5.5555555555555545,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,7.89,29.48,21.59,20.6225,8.488333333333333,7.89,0.0,2.493,2.493,1.3166666666666667,0.8777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,194.0,130.0,107.33333333333333,57.77777777777777,64.0,2.0,3.3333333333333335,3.3333333333333335,0.0,True,0.468485606147228,0.09572459689747866,"Full Formula (Be1 Br1 Cl1)
Reduced Formula: BeBrCl
abc   :   3.398319   3.398318  18.067806
angles:  90.000000  90.000000 120.000000
Sites (3)
  #  SP            a         b         c
---  ----  ---------  --------  --------
  0  Be2+  -0         0         0.217004
  1  Br-    0.333333  0.666667  0.139941
  2  Cl-    0.666667  0.333333  0.285159",1.49,1.49,0.0,1.49,0.0,-336800.0
2,Cl-Br-Ca,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,17.0,35.0,18.0,24.0,7.333333333333333,17.0,7.0,95.0,88.0,65.33333333333333,38.88888888888889,7.0,35.453,79.904,44.45099999999999,51.81166666666667,18.728222222222218,35.453,171.6,1115.0,943.4,517.4666666666666,398.35555555555555,171.6,2.0,17.0,15.0,12.0,6.666666666666667,2.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,102.0,176.0,74.0,132.66666666666666,28.888888888888886,102.0,1.0,3.16,2.16,2.3733333333333335,0.9155555555555556,1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,15.0,8.666666666666666,5.5555555555555545,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,24.4975,37.77,13.272500000000004,30.5825,4.791666666666668,24.4975,0.0,2.493,2.493,1.3166666666666667,0.8777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,117.66666666666667,71.55555555555556,64.0,2.0,3.3333333333333335,3.3333333333333335,0.0,True,0.6885137241525929,0.14619157010615066,"Full Formula (Ca1 Br1 Cl1)
Reduced Formula: CaBrCl
abc   :   4.209447   4.209446  18.639434
angles:  90.000000  90.000000 120.000000
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ca2+  0         0         0.218555
  1  Br-   0.333333  0.666667  0.132272
  2  Cl-   0.666667  0.333333  0.291277",2.06,2.06,0.0,2.06,0.0,-336800.0
3,Cl-Br-Cd,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,17.0,48.0,31.0,33.333333333333336,10.888888888888888,17.0,70.0,95.0,25.0,86.33333333333333,10.888888888888891,70.0,35.453,112.411,76.958,75.92266666666667,26.979777777777773,35.453,171.6,594.22,422.62,343.8733333333333,166.89777777777775,171.6,12.0,17.0,5.0,15.333333333333334,2.222222222222222,12.0,3.0,5.0,2.0,4.0,0.6666666666666666,3.0,102.0,144.0,42.0,122.0,14.666666666666666,102.0,1.69,3.16,1.4700000000000002,2.6033333333333335,0.6088888888888889,1.69,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,0.0,0.0,10.0,10.0,6.666666666666667,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,10.0,12.0,3.3333333333333335,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,19.495,29.48,9.985,24.49083333333333,3.3305555555555557,19.495,0.0,2.493,2.493,1.3166666666666667,0.8777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,194.0,130.0,107.33333333333333,57.77777777777777,64.0,2.0,3.3333333333333335,6.666666666666667,0.0,True,0.4173828512330857,0.0843523634963693,"Full Formula (Cd1 Br1 Cl1)
Reduced Formula: CdBrCl
abc   :   3.992737   3.992736  18.925629
angles:  90.000000  90.000000 120.000002
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Cd2+  0         0         0.217463
  1  Br-   0.333333  0.666667  0.132816
  2  Cl-   0.666667  0.333333  0.291824",1.37,1.37,0.0,1.37,0.0,-336800.0
4,Cl-Br-Co,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,17.0,35.0,18.0,26.333333333333332,6.222222222222222,17.0,58.0,95.0,37.0,82.33333333333333,16.222222222222225,58.0,35.453,79.904,44.45099999999999,58.09673166666667,15.095821111111107,35.453,171.6,1768.0,1596.4,735.1333333333333,688.5777777777779,171.6,9.0,17.0,8.0,14.333333333333334,3.5555555555555554,9.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,102.0,126.0,24.0,116.0,9.333333333333334,102.0,1.88,3.16,1.2800000000000002,2.6666666666666665,0.5244444444444446,1.88,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,0.0,0.0,10.0,10.0,5.666666666666667,3.7777777777777772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,10.0,11.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.6666666666666667,0.888888888888889,1.0,10.245,29.48,19.235,21.4075,7.441666666666666,10.245,0.0,2.493,2.493,1.3166666666666667,0.8777777777777778,0.0,0.0,1.5484712,1.5484712,0.5161570666666667,0.6882094222222221,0.0,64.0,194.0,130.0,107.33333333333333,57.77777777777777,64.0,2.0,3.3333333333333335,5.666666666666667,0.0,True,0.3360842366645266,0.06655189997535144,"Full Formula (Co1 Br1 Cl1)
Reduced Formula: CoBrCl
abc   :   3.503224   3.503224  17.809128
angles:  90.000000  90.000000 119.999993
Sites (3)
  #  SP            a          b         c
---  ----  ---------  ---------  --------
  0  Co2+  -0         -0         0.217532
  1  Br-    0.333333   0.666667  0.138042
  2  Cl-    0.666667   0.333333  0.28653",1.1800000000000002,1.1800000000000002,0.0,1.1800000000000002,0.0,-336800.0
5,Cl-Br-Cu,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,17.0,35.0,18.0,27.0,6.666666666666667,17.0,64.0,95.0,31.0,84.33333333333333,13.555555555555557,64.0,35.453,79.904,44.45099999999999,59.63433333333333,16.12088888888889,35.453,171.6,1357.77,1186.17,598.39,506.25333333333333,171.6,11.0,17.0,6.0,15.0,2.6666666666666665,11.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,102.0,132.0,30.0,118.0,10.666666666666666,102.0,1.9,3.16,1.2600000000000002,2.6733333333333333,0.5155555555555557,1.9,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,0.0,0.0,10.0,10.0,6.666666666666667,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,10.0,11.666666666666666,3.5555555555555554,7.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,11.07,29.48,18.41,21.6825,7.074999999999999,11.07,0.0,2.493,2.493,1.3166666666666667,0.8777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,117.66666666666667,71.55555555555556,64.0,1.6666666666666667,3.3333333333333335,6.666666666666667,0.0,True,0.3275987376029974,0.06471611797386732,"Full Formula (Cu1 Br1 Cl1)
Reduced Formula: CuBrCl
abc   :   3.638368   3.638368  20.593411
angles:  90.000000  90.000000 120.000002
Sites (3)
  #  SP            a          b         c
---  ----  ---------  ---------  --------
  0  Cu2+  -0         -0         0.208905
  1  Br-    0.333333   0.666667  0.134551
  2  Cl-    0.666667   0.333333  0.269502",1.1600000000000001,1.1600000000000001,0.0,1.1600000000000001,0.0,-336800.0
6,Cl-Br-Fe,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,17.0,35.0,18.0,26.0,6.0,17.0,55.0,95.0,40.0,81.33333333333333,17.555555555555557,55.0,35.453,79.904,44.45099999999999,57.06733333333333,15.224444444444442,35.453,171.6,1811.0,1639.4,749.4666666666667,707.6888888888889,171.6,8.0,17.0,9.0,14.0,4.0,8.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,102.0,132.0,30.0,118.0,10.666666666666666,102.0,1.83,3.16,1.33,2.65,0.5466666666666667,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,0.0,0.0,10.0,10.0,5.333333333333333,3.555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,10.0,10.666666666666666,4.222222222222222,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,0.0,4.0,4.0,1.3333333333333333,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,1.3333333333333333,1.0,10.73,29.48,18.75,21.569166666666664,7.226111111111112,10.73,0.0,2.493,2.493,1.3166666666666667,0.8777777777777778,0.0,0.0,2.1106628,2.1106628,0.7035542666666667,0.9380723555555556,0.0,64.0,229.0,165.0,119.0,73.33333333333333,64.0,2.0,3.3333333333333335,5.333333333333333,0.0,True,0.35739496694406636,0.07118145694327738,"Full Formula (Fe1 Br1 Cl1)
Reduced Formula: FeBrCl
abc   :   3.507985   3.507984  17.656432
angles:  90.000000  90.000000 119.999990
Sites (3)
  #  SP            a         b         c
---  ----  ---------  --------  --------
  0  Fe2+  -0         0         0.216012
  1  Br-    0.333333  0.666667  0.141961
  2  Cl-    0.666667  0.333333  0.284131",1.23,1.23,0.0,1.23,0.0,-336800.0
7,Cl-Br-Mg,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,12.0,35.0,23.0,21.333333333333332,9.11111111111111,12.0,68.0,95.0,27.0,85.66666666666667,11.777777777777777,68.0,24.305,79.904,55.599,46.554,22.23333333333333,24.305,171.6,923.0,751.4,453.46666666666664,313.02222222222224,171.6,2.0,17.0,15.0,12.0,6.666666666666667,2.0,3.0,4.0,1.0,3.3333333333333335,0.4444444444444445,3.0,102.0,141.0,39.0,121.0,13.333333333333334,102.0,1.31,3.16,1.85,2.4766666666666666,0.7777777777777778,1.31,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,15.0,8.666666666666666,5.5555555555555545,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,22.89,29.48,6.59,25.622500000000002,2.5716666666666677,22.89,0.0,2.493,2.493,1.3166666666666667,0.8777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,194.0,130.0,107.33333333333333,57.77777777777777,64.0,2.0,3.3333333333333335,3.3333333333333335,0.0,True,0.5749825278663312,0.11984802649375352,"Full Formula (Mg1 Br1 Cl1)
Reduced Formula: MgBrCl
abc   :   3.780962   3.780961  18.843616
angles:  90.000000  90.000000 119.999994
Sites (3)
  #  SP            a         b         c
---  ----  ---------  --------  --------
  0  Mg2+  -0         0         0.217828
  1  Br-    0.333333  0.666667  0.135721
  2  Cl-    0.666667  0.333333  0.288555",1.75,1.75,0.0,1.75,0.0,-336800.0
8,Cl-Br-Mn,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,17.0,35.0,18.0,25.666666666666668,6.222222222222222,17.0,52.0,95.0,43.0,80.33333333333333,18.88888888888889,52.0,35.453,79.904,44.45099999999999,56.765015,15.425989999999997,35.453,171.6,1519.0,1347.4,652.1333333333333,577.9111111111112,171.6,7.0,17.0,10.0,13.666666666666666,4.444444444444445,7.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,102.0,139.0,37.0,120.33333333333333,12.444444444444443,102.0,1.55,3.16,1.61,2.5566666666666666,0.6711111111111112,1.55,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,0.0,0.0,10.0,10.0,5.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,10.0,10.333333333333334,4.444444444444445,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,0.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.3333333333333335,1.777777777777778,1.0,10.4875862069,29.48,18.9924137931,21.488362068966666,7.333850574711111,10.4875862069,0.0,2.493,2.493,1.3166666666666667,0.8777777777777778,0.0,0.0,0.000310120689655,0.000310120689655,0.00010337356321833333,0.00013783141762444443,0.0,64.0,217.0,153.0,115.0,68.0,64.0,2.0,3.3333333333333335,5.0,0.0,True,0.47692216400686227,0.09761495056455605,"Full Formula (Mn1 Br1 Cl1)
Reduced Formula: MnBrCl
abc   :   3.488690   3.488689  18.222914
angles:  90.000000  90.000000 120.000005
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Mn2+  0         0         0.218004
  1  Br-   0.333333  0.666667  0.139259
  2  Cl-   0.666667  0.333333  0.284841",1.51,1.51,0.0,1.51,0.0,-336800.0
9,Cl-Br-Ni,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,17.0,35.0,18.0,26.666666666666668,6.444444444444444,17.0,61.0,95.0,34.0,83.33333333333333,14.888888888888891,61.0,35.453,79.904,44.45099999999999,58.016799999999996,15.042533333333331,35.453,171.6,1728.0,1556.4,721.8000000000001,670.8000000000001,171.6,10.0,17.0,7.0,14.666666666666666,3.111111111111111,10.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,102.0,124.0,22.0,115.33333333333333,8.888888888888891,102.0,1.91,3.16,1.2500000000000002,2.676666666666667,0.511111111111111,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,0.0,0.0,10.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,10.0,11.333333333333334,3.777777777777778,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,0.0,2.0,2.0,0.6666666666666666,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,10.32,29.48,19.16,21.4325,7.408333333333332,10.32,0.0,2.493,2.493,1.3166666666666667,0.8777777777777778,0.0,0.0,0.5953947,0.5953947,0.19846490000000003,0.2646198666666667,0.0,64.0,225.0,161.0,117.66666666666667,71.55555555555556,64.0,2.0,3.3333333333333335,6.0,0.0,True,0.32336615383827116,0.06380208679090245,"Full Formula (Ni1 Br1 Cl1)
Reduced Formula: NiBrCl
abc   :   3.593902   3.593901  20.282902
angles:  90.000000  90.000000 120.000001
Sites (3)
  #  SP            a         b         c
---  ----  ---------  --------  --------
  0  Ni2+  -0         0         0.203075
  1  Br-    0.333333  0.666667  0.131971
  2  Cl-    0.666667  0.333333  0.265283",1.1500000000000001,1.1500000000000001,0.0,1.1500000000000001,0.0,-336800.0
10,Cl-Br-Pb,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,17.0,82.0,65.0,44.666666666666664,24.888888888888886,17.0,81.0,95.0,14.0,90.0,6.0,81.0,35.453,207.2,171.74699999999999,107.519,66.454,35.453,171.6,600.61,429.01,346.00333333333333,169.73777777777778,171.6,14.0,17.0,3.0,16.0,1.3333333333333333,14.0,3.0,6.0,3.0,4.333333333333333,1.111111111111111,3.0,102.0,146.0,44.0,122.66666666666667,15.555555555555557,102.0,2.33,3.16,0.8300000000000001,2.8166666666666664,0.32444444444444454,2.33,2.0,2.0,0.0,2.0,0.0,2.0,2.0,5.0,3.0,4.0,1.3333333333333333,2.0,0.0,10.0,10.0,6.666666666666667,4.444444444444444,0.0,0.0,14.0,14.0,4.666666666666667,6.222222222222222,0.0,7.0,28.0,21.0,17.333333333333332,7.111111111111111,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,1.3333333333333333,1.0,24.4975,29.48,4.982500000000002,27.3625,1.9100000000000001,24.4975,0.0,2.493,2.493,1.3166666666666667,0.8777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,117.66666666666667,71.55555555555556,64.0,2.0,4.0,6.666666666666667,4.666666666666667,True,0.1582102508344636,0.02918016424957327,"Full Formula (Pb1 Br1 Cl1)
Reduced Formula: PbBrCl
abc   :   4.443523   4.443521  18.566496
angles:  90.000000  90.000000 120.000003
Sites (3)
  #  SP           a          b         c
---  ----  --------  ---------  --------
  0  Pb2+  0         -0         0.218507
  1  Br-   0.333333   0.666667  0.12696
  2  Cl-   0.666667   0.333333  0.296636",0.73,0.73,0.0,0.73,0.0,-336800.0
11,Cl-Br-Pd,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,17.0,46.0,29.0,32.666666666666664,10.444444444444445,17.0,62.0,95.0,33.0,83.66666666666667,14.444444444444443,62.0,35.453,106.42,70.967,73.92566666666667,25.64844444444444,35.453,171.6,1828.05,1656.45,755.15,715.2666666666668,171.6,10.0,17.0,7.0,14.666666666666666,3.111111111111111,10.0,3.0,5.0,2.0,4.0,0.6666666666666666,3.0,102.0,139.0,37.0,120.33333333333333,12.444444444444443,102.0,2.2,3.16,0.96,2.7733333333333334,0.3822222222222222,2.2,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,0.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,0.0,0.0,10.0,10.0,6.666666666666667,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,10.0,11.333333333333334,3.777777777777778,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,0.0,14.41,29.48,15.07,22.795833333333334,5.590555555555555,14.41,0.0,2.493,2.493,1.3166666666666667,0.8777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,117.66666666666667,71.55555555555556,64.0,1.3333333333333333,3.3333333333333335,6.666666666666667,0.0,True,0.2057841473834533,0.03891031682361325,"Full Formula (Pd1 Br1 Cl1)
Reduced Formula: PdBrCl
abc   :   3.854378   3.854378  17.949310
angles:  90.000000  90.000000 120.000001
Sites (3)
  #  SP            a         b         c
---  ----  ---------  --------  --------
  0  Pd2+  -0         0         0.216787
  1  Br-    0.333333  0.666667  0.135313
  2  Cl-    0.666667  0.333333  0.290004",0.8599999999999999,0.8599999999999999,0.0,0.8599999999999999,0.0,-336800.0
